"seed_index","brand","input_product_name","item_rank","item_product_name","item_list_price","item_sale_price","item_url","item_image_src","item_keyword_used","status","attempts","id","search_form_confirmed_url","error","started_at","ended_at"
"1","레어로우","스틸 모듈 캐비닛","","","","","","","","ok","1","e628b02e-2fe3-4d35-911e-6f0af84cf9af","","","2026-02-11T08:15:26.161Z","2026-02-11T08:16:54.409Z"
"2","잭슨카멜레온","페블 모듈 소파","","","","","","","","ok","1","c0b05d47-88fb-43c3-9d80-11a78656d17d","","","2026-02-11T08:16:55.915Z","2026-02-11T08:17:58.268Z"
"3","일광전구","스노우맨 테이블램프","","","","","","","","ok","1","7af1f95f-05b7-41f0-9b14-e9e1dee67db7","","","2026-02-11T08:17:59.775Z","2026-02-11T08:19:06.784Z"
"4","루미르","LUMIR C 무드 램프","","","","","","","","ok","1","dc3ca34d-d3c9-4dce-bd0d-e52c69737d4a","","","2026-02-11T08:19:08.286Z","2026-02-11T08:20:14.994Z"
"5","뉴트리코어","비타민D","","","","","","","","ok","1","b1cfd259-4ac0-4302-8a67-9cccbb9b00ec","","","2026-02-11T08:20:16.495Z","2026-02-11T08:20:47.522Z"
"6","트루엔","오메가3 맥스","","","","","","","","ok","1","7b6c859d-31ae-4f57-bce0-523bb0567277","","","2026-02-11T08:20:49.023Z","2026-02-11T08:22:18.497Z"
"7","오쿠","슬림 식품건조기","","","","","","","","ok","1","a058b35f-392b-4a96-87c6-eeb0663a3657","","","2026-02-11T08:22:19.998Z","2026-02-11T08:24:52.189Z"
"8","보아르","V30 에어프라이어","","","","","","","","ok","1","4439543b-c845-4a5d-90c7-6f8ea9658e08","","","2026-02-11T08:24:53.704Z","2026-02-11T08:25:03.864Z"
"9","미로","MH7000 초음파 가습기","","","","","","","","ok","1","1c4a2c70-1cbc-49bc-943a-2ed2b2f67be9","","","2026-02-11T08:25:05.375Z","2026-02-11T08:26:35.013Z"
"10","루메나","FAN PRIME 3 무선선풍기","","","","","","","","ok","1","6f3cdd73-1844-485e-8f7f-8ee881717efa","","","2026-02-11T08:26:36.517Z","2026-02-11T08:27:20.026Z"
"11","아렌시아","프레시 그린 떡솝","","","","","","","","ok","1","382d3923-0f40-4c3d-8525-e751001df242","","","2026-02-11T08:27:21.534Z","2026-02-11T08:28:30.344Z"
"12","비플레인","시카풀 앰플","","","","","","","","ok","1","f334931f-3f14-4901-a328-5f1b20624e8e","","","2026-02-11T08:28:31.848Z","2026-02-11T08:29:06.064Z"
"13","드파운드","클래식 로고 숄더백","","","","","","","","ok","1","f9862c6f-6c57-4354-a545-e586e38523b9","","","2026-02-11T08:29:07.567Z","2026-02-11T08:31:29.091Z"
"14","안다르","에어쿨링 레깅스","","","","","","","","ok","1","b96ca331-9763-4631-b4f1-aa5b43a702c7","","","2026-02-11T08:31:30.591Z","2026-02-11T08:32:19.822Z"
"15","아날로그키퍼","타임로그 다이어리","","","","","","","","ok","1","19cf5be7-a5d0-4a66-a924-923effcb24a1","","","2026-02-11T08:32:21.334Z","2026-02-11T08:33:07.805Z"
"16","닥터다니엘","커큐민","","","","","","","","ok","1","1f9ff686-78a5-4801-81e2-5e60c34250ae","","","2026-02-11T08:33:09.308Z","2026-02-11T08:34:03.444Z"
"17","청담뉴트리션","포스파티딜세린","","","","","","","","ok","1","fb1205fb-c559-4484-b0a2-8d4b3a80a6b7","","","2026-02-11T08:34:04.947Z","2026-02-11T08:34:43.888Z"
"18","보타니스트","보태니컬 샴푸","","","","","","","","ok","1","77ed7488-990d-49d5-b807-f56c07e65e37","","","2026-02-11T08:34:45.399Z","2026-02-11T08:35:44.900Z"
"19","셀레티","dangling earrings","","","","","","","","ok","1","672f3aa3-ce29-4da5-a190-3c664464b72b","","","2026-02-11T08:35:46.410Z","2026-02-11T08:36:50.587Z"
"20","파크골프채","피닉스","","","","","","","","ok","1","8cb14f81-9719-4b25-9a69-51369011521c","","","2026-02-11T08:36:52.100Z","2026-02-11T08:37:36.016Z"
"21","Magis","Chair One","","","","","","","","ok","1","b5f62314-5156-4227-8a79-bfcfa2438906","","","2026-02-11T08:37:37.529Z","2026-02-11T08:38:19.250Z"
"22","Ferm Living","Rico Lounge Chair","","","","","","","","ok","1","0de1daaa-3814-49a5-9a65-e7b72053b5f5","","","2026-02-11T08:38:20.756Z","2026-02-11T08:38:47.169Z"
"23","Flos","IC Lights T1","","","","","","","","ok","1","240d959f-a771-4fb7-9bdb-7e50db7aa484","","","2026-02-11T08:38:48.672Z","2026-02-11T08:39:44.684Z"
"24","Artemide","Tolomeo Tavolo","","","","","","","","ok","1","2ac559a1-2e73-4528-be9d-0774a746a951","","","2026-02-11T08:39:46.189Z","2026-02-11T08:40:53.675Z"
"25","Thorne","Basic Nutrients 2/Day","","","","","","","","ok","1","c6d31359-6924-4958-b028-53a414d5625f","","","2026-02-11T08:40:55.178Z","2026-02-11T08:41:25.110Z"
"26","Solgar","Gentle Iron 25mg","","","","","","","","ok","1","3bdf963c-e7c2-4d04-a518-3dd2ab7fa5f5","","","2026-02-11T08:41:26.621Z","2026-02-11T08:41:55.356Z"
"27","Aarke","Carbonator 3","","","","","","","","ok","1","a1e0e9d8-c331-4164-bd21-34310b56aba3","","","2026-02-11T08:41:56.869Z","2026-02-11T08:43:00.345Z"
"28","Fellow","Stagg EKG Kettle","","","","","","","","ok","1","d89e59a4-835b-4a16-879b-efe9b70115dd","","","2026-02-11T08:43:01.846Z","2026-02-11T08:43:41.871Z"
"29","Stadler Form","Oskar Humidifier","","","","","","","","ok","1","f3156f4a-48c2-4842-b098-8ed3b2541c26","","","2026-02-11T08:43:43.380Z","2026-02-11T08:44:50.417Z"
"30","BALMUDA","The Pure Air Purifier","","","","","","","","ok","1","0a3e9f88-2e74-4f82-8961-7090036d410f","","","2026-02-11T08:44:51.922Z","2026-02-11T08:45:51.042Z"
"31","Byredo","Blanche Hand Cream","","","","","","","","ok","1","31bf7c62-3620-4b21-924a-d87eae8c6b4b","","","2026-02-11T08:45:52.543Z","2026-02-11T08:47:09.789Z"
"32","Susanne Kaufmann","Enzyme Exfoliator","","","","","","","","ok","1","86b815ce-73ed-43f6-89a5-b64277996995","","","2026-02-11T08:47:11.299Z","2026-02-11T08:48:12.197Z"
"33","A.P.C.","Demi-Lune Bag","","","","","","","","ok","1","a68d617b-4897-4fe1-aada-2fb2f27d4a2a","","","2026-02-11T08:48:13.719Z","2026-02-11T08:49:13.995Z"
"34","Fazzini","Raso Sateen Duvet Cover","","","","","","","","ok","1","6a6d97ec-7cce-4d87-9841-8af07cc87a72","","","2026-02-11T08:49:15.496Z","2026-02-11T08:50:05.751Z"
"35","Ziwi Peak","Air-Dried Beef Recipe","","","","","","","","ok","1","701d315e-0f4f-4633-b538-9401b7dddc22","","","2026-02-11T08:50:07.253Z","2026-02-11T08:50:35.409Z"
